partNumber,manufacturer,category,series,productName,shortDescription,longDescription,applications,industries,alternativePartNumbers,relatedProducts,rfqAvailable,seoTitle,seoDescription
"DVC6200","fisher","valves","DVC6200","DVC6200 Digital Valve Controller","Digital valve controller used to interface control valve actuators with plant control systems.","The DVC6200 digital valve controller provides positioning and diagnostic capability for pneumatic control valve actuators, supporting HART and FOUNDATION Fieldbus communication protocols.","Flow control;Process automation;Actuator positioning","Oil & Gas;Petrochemical","DVC6200-D1;DVC6200SIS","emerson/3051s;honeywell/st700","true","",""
"3051S","emerson","instrumentation","3051S","3051S Pressure Transmitter","Scalable pressure transmitter platform for pressure, level and flow measurement.","The 3051S pressure transmitter platform offers configurable measurement types including differential, gauge and absolute pressure, designed for process monitoring and control applications.","Pressure measurement;Level measurement;Process monitoring","Oil & Gas;Energy","3051S2CD;3051SAL","honeywell/st700;yokogawa/eja430e","true","Emerson 3051S Pressure Transmitter | Trademarco Global","Sourcing information for the Emerson 3051S scalable pressure transmitter platform."
"ACS880-01","abb","electrical","ACS880","ACS880-01 Industrial Drive","Industrial variable frequency drive for motor control applications.","The ACS880-01 is an all-compatible industrial drive designed for demanding motor control applications across a wide power range, supporting standard and custom automation interfaces.","Motor control;Speed regulation;Process automation","Manufacturing;Mining","","","true","",""
"SITRANS-P320","siemens","instrumentation","SITRANS P","SITRANS P320 Pressure Transmitter","Compact pressure transmitter for industrial process applications.","The SITRANS P320 is a compact pressure transmitter for gauge and absolute pressure measurement, intended for standard industrial process instrumentation applications.","Pressure measurement;Process instrumentation","Manufacturing;Energy","","emerson/3051s","true","",""
"37-FLARE-1-4","parker","pipes-fittings","37 Series","37 Degree Flare Tube Fitting 1/4 in","Flared tube fitting for hydraulic and pneumatic tube connections.","37 degree flare tube fittings provide a metal-to-metal sealing connection for hydraulic and pneumatic tubing systems, available in a range of sizes and configurations.","Hydraulic systems;Pneumatic systems;Tube connections","Manufacturing;Marine","","","false","",""
"SS-400-6","swagelok","pipes-fittings","400 Series","SS-400-6 Tube Fitting","Stainless steel tube fitting for fluid system connections.","SS-400-6 tube fittings use a two-ferrule design for reliable, leak-tight connections in stainless steel tubing systems used across process and instrumentation applications.","Fluid system connections;Instrumentation tubing","Oil & Gas;Petrochemical;Manufacturing","","","true","",""
"ST700","honeywell","instrumentation","SmartLine","SmartLine ST700 Pressure Transmitter","Pressure transmitter for demanding process measurement applications.","The SmartLine ST700 pressure transmitter is designed for high-performance pressure measurement in demanding process environments, supporting a range of process connections and outputs.","Pressure measurement;Process monitoring","Oil & Gas;Energy","","fisher/dvc6200","true","",""
"EJA430E","yokogawa","instrumentation","EJA-E","EJA430E Gauge Pressure Transmitter","Gauge pressure transmitter for industrial process measurement.","The EJA430E gauge pressure transmitter uses a silicon resonant sensor for stable, accurate pressure measurement across industrial process applications.","Pressure measurement;Process control","Petrochemical;Energy","","emerson/3051s","true","Yokogawa EJA430E Gauge Pressure Transmitter | Trademarco Global","Sourcing information for the Yokogawa EJA430E gauge pressure transmitter."
"WORCESTER-44","flowserve","valves","Worcester 44","Worcester 44 Series Ball Valve","Ball valve series for industrial flow control and isolation.","The Worcester 44 series ball valve provides reliable flow control and isolation for industrial process piping systems, available in multiple end connection and material configurations.","Flow isolation;Process piping","Oil & Gas;Marine","","velan/class800-gv","true","",""
"CLASS800-GV","velan","valves","Class 800","Class 800 Forged Steel Gate Valve","Forged steel gate valve for high-pressure industrial piping systems.","Class 800 forged steel gate valves are designed for isolation service in high-pressure industrial piping systems, suited to severe-service process applications.","Flow isolation;High-pressure service","Oil & Gas;Mining","","flowserve/worcester-44","true","",""
